timestamp,machine_id,temperature_c,vibration_rms_g,rotational_speed_rpm,motor_current_a,hydraulic_pressure_bar,load_percentage,fault_label
2026-09-01 08:00:00,pump_unit_01,51.36,2.025,1509.1,8.64,56.44,46.8,hydraulic_pressure_loss
2026-09-01 08:15:00,pump_unit_01,99.17,4.693,1496.0,11.1,142.34,62.8,bearing_overheat_wear
2026-09-01 08:30:00,pump_unit_01,54.83,1.745,1484.8,11.18,32.79,38.4,hydraulic_pressure_loss
2026-09-01 08:45:00,pump_unit_01,56.44,1.929,1527.1,9.87,137.44,63.1,normal
2026-09-01 09:00:00,pump_unit_01,105.6,6.016,1482.4,9.54,143.25,72.5,bearing_overheat_wear
2026-09-01 09:15:00,pump_unit_01,52.67,1.87,1496.8,10.37,144.36,69.3,normal
2026-09-01 09:30:00,pump_unit_01,55.24,1.887,1504.5,9.03,138.4,65.2,normal
2026-09-01 09:45:00,pump_unit_01,54.04,9.97,1393.3,10.97,131.59,66.0,rotor_unbalance
2026-09-01 10:00:00,pump_unit_01,57.78,8.014,1434.0,10.89,139.04,60.3,rotor_unbalance
2026-09-01 10:15:00,pump_unit_01,55.5,2.007,1488.6,10.33,143.13,66.1,normal
2026-09-01 10:30:00,pump_unit_01,52.68,1.691,1489.3,9.24,45.04,42.9,hydraulic_pressure_loss
2026-09-01 10:45:00,pump_unit_01,57.33,7.683,1371.3,10.14,131.56,59.3,rotor_unbalance
2026-09-01 11:00:00,pump_unit_01,67.79,1.687,1514.5,22.09,143.69,62.4,electrical_overcurrent
2026-09-01 11:15:00,pump_unit_01,80.14,1.282,1501.5,26.46,137.03,59.3,electrical_overcurrent
2026-09-01 11:30:00,pump_unit_01,94.96,5.605,1491.4,9.38,140.9,69.3,bearing_overheat_wear
2026-09-01 11:45:00,pump_unit_01,60.12,1.443,1485.4,9.46,138.05,59.7,normal
2026-09-01 12:00:00,pump_unit_01,54.22,8.576,1364.1,10.45,144.19,80.0,rotor_unbalance
2026-09-01 12:15:00,pump_unit_01,47.54,10.272,1370.1,9.87,136.94,67.2,rotor_unbalance
2026-09-01 12:30:00,pump_unit_01,51.38,1.298,1487.7,10.16,148.84,68.8,normal
2026-09-01 12:45:00,pump_unit_01,53.25,1.445,1480.5,9.62,150.64,63.1,normal
2026-09-01 13:00:00,pump_unit_01,51.84,2.079,1500.8,10.07,31.58,43.4,hydraulic_pressure_loss
2026-09-01 13:15:00,pump_unit_01,86.85,6.282,1518.7,10.33,139.41,69.7,bearing_overheat_wear
2026-09-01 13:30:00,pump_unit_01,58.87,7.858,1409.9,10.35,133.88,59.8,rotor_unbalance
2026-09-01 13:45:00,pump_unit_01,53.66,2.238,1478.4,9.48,143.22,65.6,normal
2026-09-01 14:00:00,pump_unit_01,94.55,6.137,1516.1,10.27,143.22,55.7,bearing_overheat_wear
2026-09-01 14:15:00,pump_unit_01,51.93,8.253,1424.5,9.14,140.15,65.1,rotor_unbalance
2026-09-01 14:30:00,pump_unit_01,59.68,7.624,1424.7,10.02,141.21,69.1,rotor_unbalance
2026-09-01 14:45:00,pump_unit_01,94.17,5.136,1482.2,9.97,132.68,64.5,bearing_overheat_wear
2026-09-01 15:00:00,pump_unit_01,52.71,1.156,1492.6,9.35,51.08,29.7,hydraulic_pressure_loss
2026-09-01 15:15:00,pump_unit_01,104.34,4.279,1478.5,11.67,154.53,61.0,bearing_overheat_wear
2026-09-01 15:30:00,pump_unit_01,51.55,1.726,1506.7,10.55,29.62,46.9,hydraulic_pressure_loss
2026-09-01 15:45:00,pump_unit_01,55.81,1.633,1502.1,11.01,140.78,70.1,normal
2026-09-01 16:00:00,pump_unit_01,93.33,4.207,1499.7,10.12,150.47,77.4,bearing_overheat_wear
2026-09-01 16:15:00,pump_unit_01,55.91,1.466,1512.9,10.41,142.4,57.5,normal
2026-09-01 16:30:00,pump_unit_01,56.59,1.467,1487.9,10.41,30.38,38.2,hydraulic_pressure_loss
2026-09-01 16:45:00,pump_unit_01,99.71,4.572,1491.4,10.34,141.48,65.8,bearing_overheat_wear
2026-09-01 17:00:00,pump_unit_01,49.63,2.059,1490.1,10.15,134.74,66.0,normal
2026-09-01 17:15:00,pump_unit_01,77.37,2.32,1512.7,26.99,148.72,70.6,electrical_overcurrent
2026-09-01 17:30:00,pump_unit_01,52.56,7.93,1376.5,10.83,139.05,75.0,rotor_unbalance
2026-09-01 17:45:00,pump_unit_01,49.5,1.78,1477.4,9.79,147.56,71.8,normal
2026-09-01 18:00:00,pump_unit_01,51.45,1.81,1476.8,9.66,47.9,47.9,hydraulic_pressure_loss
2026-09-01 18:15:00,pump_unit_01,87.59,4.643,1519.2,8.55,137.04,71.5,bearing_overheat_wear
2026-09-01 18:30:00,pump_unit_01,57.96,8.076,1431.7,11.05,141.16,69.4,rotor_unbalance
2026-09-01 18:45:00,pump_unit_01,54.47,1.915,1510.0,9.35,139.37,76.9,normal
2026-09-01 19:00:00,pump_unit_01,52.12,10.69,1449.4,10.21,146.64,73.1,rotor_unbalance
2026-09-01 19:15:00,pump_unit_01,72.24,1.199,1519.1,26.44,140.54,75.9,electrical_overcurrent
2026-09-01 19:30:00,pump_unit_01,99.8,5.142,1502.9,10.42,132.94,54.1,bearing_overheat_wear
2026-09-01 19:45:00,pump_unit_01,57.46,1.841,1506.4,10.38,30.72,32.1,hydraulic_pressure_loss
2026-09-01 20:00:00,pump_unit_01,53.62,1.956,1491.0,10.11,144.15,56.0,normal
2026-09-01 20:15:00,pump_unit_01,49.81,1.1,1484.8,10.8,52.92,36.6,hydraulic_pressure_loss
2026-09-01 20:30:00,pump_unit_01,52.31,2.206,1496.4,9.53,137.03,59.1,normal
2026-09-01 20:45:00,pump_unit_01,53.75,2.041,1520.8,9.09,141.96,61.8,normal
2026-09-01 21:00:00,pump_unit_01,54.54,1.251,1508.9,9.72,137.33,61.6,normal
2026-09-01 21:15:00,pump_unit_01,98.06,5.993,1499.9,10.49,146.6,65.9,bearing_overheat_wear
2026-09-01 21:30:00,pump_unit_01,58.9,7.884,1423.6,10.48,149.76,80.5,rotor_unbalance
2026-09-01 21:45:00,pump_unit_01,52.04,1.9,1494.6,10.45,135.83,58.5,normal
2026-09-01 22:00:00,pump_unit_01,51.09,9.143,1391.5,11.75,145.53,62.2,rotor_unbalance
2026-09-01 22:15:00,pump_unit_01,55.65,8.748,1404.0,11.05,134.29,68.0,rotor_unbalance
2026-09-01 22:30:00,pump_unit_01,55.32,1.974,1494.1,10.06,58.5,43.2,hydraulic_pressure_loss
2026-09-01 22:45:00,pump_unit_01,57.33,2.126,1500.5,9.97,142.27,66.1,normal
2026-09-01 23:00:00,pump_unit_01,48.59,1.699,1465.1,9.0,146.82,73.4,normal
2026-09-01 23:15:00,pump_unit_01,49.74,8.817,1387.5,12.14,142.17,64.6,rotor_unbalance
2026-09-01 23:30:00,pump_unit_01,55.35,1.774,1506.9,10.48,143.34,63.9,normal
2026-09-01 23:45:00,pump_unit_01,60.7,1.509,1481.7,11.27,40.7,55.2,hydraulic_pressure_loss
2026-09-02 00:00:00,pump_unit_01,55.9,2.269,1489.6,9.45,34.31,46.3,hydraulic_pressure_loss
