sample_id,machine_id,image_path,audio_path,temperature_c,vibration_rms_g,rotational_speed_rpm,motor_current_a,hydraulic_pressure_bar,load_percentage,technician_notes,fault_label
machine_asset_01_event_000,machine_asset_01,data\multimodal\images\machine_asset_01_event_000.png,data\multimodal\audio\machine_asset_01_event_000.wav,54.09,9.063,1436.4,10.86,131.6,69.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_001,machine_asset_01,data\multimodal\images\machine_asset_01_event_001.png,data\multimodal\audio\machine_asset_01_event_001.wav,61.73,2.32,1516.0,9.67,133.65,84.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_002,machine_asset_01,data\multimodal\images\machine_asset_01_event_002.png,data\multimodal\audio\machine_asset_01_event_002.wav,100.53,5.375,1503.8,10.22,141.91,77.1,Audible high-pitched periodic chirping from drive-end bearing. Casing hot to touch.,bearing_defect_wear
machine_asset_01_event_003,machine_asset_01,data\multimodal\images\machine_asset_01_event_003.png,data\multimodal\audio\machine_asset_01_event_003.wav,54.81,1.504,1478.4,11.09,137.27,68.1,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_004,machine_asset_01,data\multimodal\images\machine_asset_01_event_004.png,data\multimodal\audio\machine_asset_01_event_004.wav,52.34,1.523,1493.1,9.74,129.8,67.8,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_005,machine_asset_01,data\multimodal\images\machine_asset_01_event_005.png,data\multimodal\audio\machine_asset_01_event_005.wav,52.59,1.283,1498.3,10.42,141.43,73.3,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_006,machine_asset_01,data\multimodal\images\machine_asset_01_event_006.png,data\multimodal\audio\machine_asset_01_event_006.wav,49.81,7.922,1492.0,10.16,137.44,61.6,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_007,machine_asset_01,data\multimodal\images\machine_asset_01_event_007.png,data\multimodal\audio\machine_asset_01_event_007.wav,55.0,7.048,1500.8,10.19,139.02,66.0,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_008,machine_asset_01,data\multimodal\images\machine_asset_01_event_008.png,data\multimodal\audio\machine_asset_01_event_008.wav,55.32,9.528,1418.0,10.49,142.95,69.8,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_009,machine_asset_01,data\multimodal\images\machine_asset_01_event_009.png,data\multimodal\audio\machine_asset_01_event_009.wav,53.67,2.005,1505.0,11.01,140.1,68.2,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_010,machine_asset_01,data\multimodal\images\machine_asset_01_event_010.png,data\multimodal\audio\machine_asset_01_event_010.wav,49.38,8.296,1465.4,9.1,143.78,62.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_011,machine_asset_01,data\multimodal\images\machine_asset_01_event_011.png,data\multimodal\audio\machine_asset_01_event_011.wav,56.36,7.202,1485.0,9.44,132.39,72.6,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_012,machine_asset_01,data\multimodal\images\machine_asset_01_event_012.png,data\multimodal\audio\machine_asset_01_event_012.wav,55.42,8.664,1403.6,9.54,129.9,67.2,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_013,machine_asset_01,data\multimodal\images\machine_asset_01_event_013.png,data\multimodal\audio\machine_asset_01_event_013.wav,54.19,6.487,1494.6,10.32,142.25,70.6,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_014,machine_asset_01,data\multimodal\images\machine_asset_01_event_014.png,data\multimodal\audio\machine_asset_01_event_014.wav,58.21,10.919,1434.9,10.32,143.43,64.6,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_015,machine_asset_01,data\multimodal\images\machine_asset_01_event_015.png,data\multimodal\audio\machine_asset_01_event_015.wav,56.63,11.188,1410.5,10.73,142.05,78.2,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_016,machine_asset_01,data\multimodal\images\machine_asset_01_event_016.png,data\multimodal\audio\machine_asset_01_event_016.wav,58.07,9.365,1431.7,9.52,145.09,65.9,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_017,machine_asset_01,data\multimodal\images\machine_asset_01_event_017.png,data\multimodal\audio\machine_asset_01_event_017.wav,52.77,1.773,1491.6,10.47,39.94,66.7,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_01_event_018,machine_asset_01,data\multimodal\images\machine_asset_01_event_018.png,data\multimodal\audio\machine_asset_01_event_018.wav,55.28,2.087,1514.7,10.24,137.9,62.7,Regular shift inspection complete. Machine operating within normal acoustic and thermal limits.,normal_state
machine_asset_01_event_019,machine_asset_01,data\multimodal\images\machine_asset_01_event_019.png,data\multimodal\audio\machine_asset_01_event_019.wav,54.55,6.946,1503.3,9.46,138.44,78.0,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_020,machine_asset_01,data\multimodal\images\machine_asset_01_event_020.png,data\multimodal\audio\machine_asset_01_event_020.wav,52.29,8.781,1484.5,10.27,139.31,66.3,Visible crack propagation on mounting bracket and audible mechanical rattling.,structural_crack_loose
machine_asset_01_event_021,machine_asset_01,data\multimodal\images\machine_asset_01_event_021.png,data\multimodal\audio\machine_asset_01_event_021.wav,60.68,1.816,1490.0,11.05,55.25,62.7,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
machine_asset_01_event_022,machine_asset_01,data\multimodal\images\machine_asset_01_event_022.png,data\multimodal\audio\machine_asset_01_event_022.wav,59.77,9.161,1445.2,10.04,145.88,66.1,Severe 1X rotational vibration harmonics and mild rotational speed drop under load.,rotor_unbalance
machine_asset_01_event_023,machine_asset_01,data\multimodal\images\machine_asset_01_event_023.png,data\multimodal\audio\machine_asset_01_event_023.wav,55.19,1.813,1498.9,10.3,42.35,75.8,Broadband hissing noise in pump suction line. Hydraulic pressure dropped severely.,hydraulic_cavitation
